# memory size (bytes)	cycles
1374000	7812
1375000	7812
1376000	6250
1377000	7812
1378000	7812
1379000	7812
1380000	6250
1381000	7812
1382000	7812
1383000	6250
1384000	7812
1385000	6250
1386000	7812
1387000	7812
1388000	6250
1389000	7812
1390000	7812
1391000	6250
1392000	7812
1393000	7812
1394000	6250
1395000	6250
1396000	7812
1397000	7812
1398000	7812
1399000	6250
1400000	7812
1401000	7812
1402000	7812
1403000	7812
1404000	7812
1405000	6250
1406000	7812
1407000	7812
1408000	7812
1409000	6250
1410000	7812
1411000	7812
1412000	6250
1413000	7812
1414000	7812
1415000	7812
1416000	6250
1417000	7812
1418000	7812
1419000	7812
1420000	7812
1421000	6250
1422000	7812
1423000	7812
1424000	7812
1425000	7812
1426000	7812
1427000	6250
1428000	7812
1429000	7812
1430000	7812
1431000	7812
1432000	6250
1433000	7812
1434000	7812
1435000	7812
1436000	7812
1437000	6250
1438000	7812
1439000	7812
1440000	7812
1441000	7812
1442000	7812
1443000	7812
1444000	6250
1445000	7812
1446000	7812
1447000	7812
1448000	7812
1449000	7812
1450000	7812
1451000	7812
1452000	7812
1453000	7812
1454000	7812
1455000	7812
1456000	6250
1457000	7812
1458000	7812
1459000	7812
1460000	7812
1461000	7812
1462000	7812
1463000	7812
1464000	7812
1465000	7812
1466000	7812
1467000	7812
1468000	7812
1469000	7812
1470000	7812
1471000	7812
1472000	7812
1473000	7812
1474000	7812
1475000	7812
1476000	7812
1477000	7812
1478000	7812
1479000	7812
1480000	7812
1481000	7812
1482000	7812
1483000	7812
1484000	7812
1485000	7812
1486000	7812
1487000	6250
1488000	7812
1489000	7812
1490000	7812
1491000	7812
1492000	9375
1493000	7812
1494000	7812
1495000	7812
1496000	7812
1497000	7812
1498000	7812
1499000	7812
1500000	7812
1501000	7812
1502000	7812
1503000	7812
1504000	7812
1505000	9375
1506000	7812
1507000	7812
1508000	7812
1509000	7812
1510000	7812
1511000	7812
1512000	7812
1513000	7812
1514000	7812
1515000	7812
1516000	7812
1517000	9375
1518000	7812
1519000	7812
1520000	7812
1521000	7812
1522000	7812
1523000	9375
1524000	7812
1525000	7812
1526000	7812
1527000	7812
1528000	7812
1529000	9375
